,Urls,Thumbs,Title,Views,Time
0,https://youtube.com/watch?v=2OrYDCb737E,https://i.ytimg.com/vi/2OrYDCb737E/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA72OIuSvE9cFf5Xe_Y_s9wyTFeMA,The Ultimate Class 11th Survival Guide: Tips and Tricks for Success,"53,600",10 hours ago
1,https://youtube.com/watch?v=U1FxvG4GNAY,https://i.ytimg.com/vi/U1FxvG4GNAY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAOBR5HXwEATD5OewxNwgr7jDM3Vg,If not MBBS then What ❓|| Career Options for Biology Students,"28,037",1 day ago
2,https://youtube.com/watch?v=t961YvjKH20,https://i.ytimg.com/vi/t961YvjKH20/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCXf9hGOMNcbwO90Gu9UguxQGpqqw,"Why Commerce After 10th, Explore the Best Career Options | Must Watch","28,795",3 days ago
3,https://youtube.com/watch?v=XA03UtMWbIA,https://i.ytimg.com/vi/XA03UtMWbIA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCOTC6yDo1Sh4cEv0N8zEUI1foDug,Class 10th Ke Baad Konsi Stream Le? || Strategy Wallah || PW Foundation,"55,411",4 days ago
4,https://youtube.com/watch?v=9jfTn4lcLu4,https://i.ytimg.com/vi/9jfTn4lcLu4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCJ17905y5blAzjQQ5PpicClBF7_g,तो चलिए शुरू करते है AIIMS Jane Ki Tayyari !! Revealing Arjuna NEET Faculties 🙏 Check Description.,"57,354",6 days ago
5,https://youtube.com/watch?v=c_pKfD4UgFg,https://i.ytimg.com/vi/c_pKfD4UgFg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBl9EKVVtd9OlrbwHVmu8QcdAYoew,Ruman Ashraf - Bihar Board Class 10th TOPPER from PW !! Udaan Batch⚡,"75,272",6 days ago
6,https://youtube.com/watch?v=RWcwMNVdp9c,https://i.ytimg.com/vi/RWcwMNVdp9c/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAgNnwI_N9C48g-POaRku950odnNA,Complete Roadmap on How to Start Class 9th 🔥 || Full Year Long Strategy For Students 💯,"50,745",7 days ago
7,https://youtube.com/watch?v=jzclZf2NaFM,https://i.ytimg.com/vi/jzclZf2NaFM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBVCKo8TPChs5hnYPUdW4HzaqyAog,Class 10th Over 😎 अब Class 11th JEE की तैयारी !! Check Description.,"75,415",7 days ago
8,https://youtube.com/watch?v=hzwEXoQDNCs,https://i.ytimg.com/vi/hzwEXoQDNCs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAXhl34wI4pQBeQTdp7mulwqCUtfg,Aarambh Batch 2024 | For CBSE Class 11th Commerce | Biggest Launch🔥,"50,796",11 days ago
9,https://youtube.com/watch?v=0s6hAsFGxYE,https://i.ytimg.com/vi/0s6hAsFGxYE/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARg5IGMocjAP&rs=AOn4CLAFvkey1eyDuG3WOpaPovWVNy2Yvg,India's NO.1 Batch for Class 10th - UDAAN ⚡ Launching Today !! Check Description.,"71,174",2 weeks ago
10,https://youtube.com/watch?v=YXRyMc_noiE,https://i.ytimg.com/vi/YXRyMc_noiE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAi_xYCvafaojkGGWRj-SrCV1sxcQ,India's Biggest Scholarship Test for Classes 8th to 12th !! 🔥🔥 || PW SAT 2023 ⚡💥,"117,100",2 weeks ago
11,https://youtube.com/watch?v=PI1obes98Zc,https://i.ytimg.com/vi/PI1obes98Zc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDyWGBtPVQCXcUM1DiCpOeszoKAsQ,How to score 95%+ in class 10th? Complete year Powerful Strategy!!,"363,102",4 weeks ago
12,https://youtube.com/watch?v=16fUsD0M1-I,https://i.ytimg.com/vi/16fUsD0M1-I/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLByRUwFQYHPXlsq0XinNUla0MZtNw,Last 4 Days Left For SST Exam || How To Manage to Score 80/80 in Boards || Class-10th,"69,815",4 weeks ago
13,https://youtube.com/watch?v=S0RySN5arvk,https://i.ytimg.com/vi/S0RySN5arvk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBOhnoOmjXFZyCKcKSm5Q-ZERlrZQ,Benefits of Choosing Commerce After 10th | Commerce क्यों लेना चाहिए? | CBSE | ICSE | State Boards,"36,029",1 month ago
14,https://youtube.com/watch?v=HzBhwxMrt8A,https://i.ytimg.com/vi/HzBhwxMrt8A/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDxv8xtxXYKf6Zn58zMFt2mqVTTZw,Complete 𝗖𝗔𝗥𝗕𝗢𝗡 𝗔𝗡𝗗 𝗜𝗧𝗦 𝗖𝗢𝗠𝗣𝗢𝗨𝗡𝗗𝗦 in 90 Minutes | Class 10th Board Exam,"45,428",1 month ago
15,https://youtube.com/watch?v=60_B3haKADw,https://i.ytimg.com/vi/60_B3haKADw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA9baY1YtDSZafi5-Ej4K4ehDrL_A,Complete 𝗠𝗘𝗧𝗔𝗟𝗦 & 𝗡𝗢𝗡 𝗠𝗘𝗧𝗔𝗟𝗦  in 120 Minutes | Class 10th Board Exam,"26,292",1 month ago
16,https://youtube.com/watch?v=46CNHP9wBAs,https://i.ytimg.com/vi/46CNHP9wBAs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBjvT3nT1waDnGZ0G3r-csPJeQF9w,"Complete 𝗔𝗖𝗜𝗗, 𝗕𝗔𝗦𝗘𝗦 𝗔𝗡𝗗 𝗦𝗔𝗟𝗧 in 110 Minutes | Class 10th Board Exam","23,553",1 month ago
17,https://youtube.com/watch?v=1Wk5gJtZ2sQ,https://i.ytimg.com/vi/1Wk5gJtZ2sQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB3qe5Gqbz5v_KD1pUUfRWeb60VHQ,Complete 𝗖𝗛𝗘𝗠𝗜𝗖𝗔𝗟 𝗥𝗘𝗔𝗖𝗧𝗜𝗢𝗡  in 90 Minutes | Class 10th Board Exam,"40,186",1 month ago
18,https://youtube.com/watch?v=iM_hVnElC-Q,https://i.ytimg.com/vi/iM_hVnElC-Q/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBLOHeUia6L1Ui7ad9_DkhIAUwI7A,Complete 𝐇𝐄𝐑𝐄𝐃𝐈𝐓𝐘 𝐀𝐍𝐃 𝐄𝐕𝐎𝐋𝐔𝐓𝐈𝐎𝐍 in 2 Hours|| Class 10th Board Exam,"68,052",1 month ago
19,https://youtube.com/watch?v=Prly9d7LoAQ,https://i.ytimg.com/vi/Prly9d7LoAQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBIzYvUsJx3fu9nvhvEUNn1RR8iUg,Complete 𝗛𝗢𝗪 𝗗𝗢 𝗢𝗥𝗚𝗔𝗡𝗜𝗦𝗠𝗦 𝗥𝗘𝗣𝗥𝗢𝗗𝗨𝗖𝗘 in 1 Hours 50 Minutes|| Class 10th Board Exam,"29,186",1 month ago
20,https://youtube.com/watch?v=AvwBDiCWSEM,https://i.ytimg.com/vi/AvwBDiCWSEM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDMpZ0M1O---QujzviCqa_O_uybxQ,Complete 𝗢𝗨𝗥 𝗘𝗡𝗩𝗜𝗥𝗢𝗡𝗠𝗘𝗡𝗧 in 1 Hour 30 Minutes | Class 10th Board Exam,"45,397",1 month ago
